onset	duration	trial_type	value	sample
3.18359375	0.0	ROWE	6	815
3.20703125	0.0	ROWS	7	821
3.56640625	0.0	ROWE	6	913
10.0	0.0	CH01	1	2560
14.6015625	0.0	ROWS	7	3738
14.96875	0.0	ROWE	6	3832
15.01953125	0.0	ROWS	7	3845
19.0	0.0	ROWE	6	4864
19.0625	0.0	ROWS	7	4880
23.18359375	0.0	ROWE	6	5935
23.24609375	0.0	ROWS	7	5951
25.28515625	0.0	ROWE	6	6473
25.34375	0.0	ROWS	7	6488
29.453125	0.0	ROWE	6	7540
29.5078125	0.0	ROWS	7	7554
33.66796875	0.0	ROWE	6	8619
33.72265625	0.0	ROWS	7	8633
35.3515625	0.0	ROWE	6	9050
35.41015625	0.0	ROWS	7	9065
39.69921875	0.0	ROWE	6	10163
39.7578125	0.0	ROWS	7	10178
43.8828125	0.0	ROWE	6	11234
43.9453125	0.0	ROWS	7	11250
45.58203125	0.0	ROWE	6	11669
45.64453125	0.0	ROWS	7	11685
49.765625	0.0	ROWE	6	12740
49.828125	0.0	ROWS	7	12756
53.96484375	0.0	ROWE	6	13815
54.02734375	0.0	ROWS	7	13831
55.6328125	0.0	ROWE	6	14242
55.6796875	0.0	ROWS	7	14254
59.6484375	0.0	ROWE	6	15270
59.703125	0.0	ROWS	7	15284
61.31640625	0.0	ROWE	6	15697
61.37109375	0.0	ROWS	7	15711
65.56640625	0.0	ROWE	6	16785
65.6328125	0.0	ROWS	7	16802
69.8671875	0.0	ROWE	6	17886
69.93359375	0.0	ROWS	7	17903
73.31640625	0.0	ROWE	6	18769
73.37890625	0.0	ROWS	7	18785
77.59765625	0.0	ROWE	6	19865
77.66015625	0.0	ROWS	7	19881
81.98046875	0.0	ROWE	6	20987
82.046875	0.0	ROWS	7	21004
84.5	0.0	ROWE	6	21632
84.5625	0.0	ROWS	7	21648
88.796875	0.0	ROWE	6	22732
88.86328125	0.0	ROWS	7	22749
92.71484375	0.0	ROWE	6	23735
92.78125	0.0	ROWS	7	23752
97.046875	0.0	ROWE	6	24844
97.109375	0.0	ROWS	7	24860
101.21484375	0.0	ROWE	6	25911
101.28125	0.0	ROWS	7	25928
104.1484375	0.0	ROWE	6	26662
104.2109375	0.0	ROWS	7	26678
108.34765625	0.0	ROWE	6	27737
108.39453125	0.0	ROWS	7	27749
112.36328125	0.0	ROWE	6	28765
112.41015625	0.0	ROWS	7	28777
112.76171875	0.0	ROWE	6	28867
112.8125	0.0	ROWS	7	28880
116.80078125	0.0	ROWE	6	29901
116.86328125	0.0	ROWS	7	29917
121.265625	0.0	ROWE	6	31044
121.33203125	0.0	ROWS	7	31061
124.73046875	0.0	ROWE	6	31931
124.78515625	0.0	ROWS	7	31945
128.98046875	0.0	ROWE	6	33019
129.0390625	0.0	ROWS	7	33034
130.234375	0.0	ROWE	6	33340
130.29296875	0.0	ROWS	7	33355
134.4140625	0.0	ROWE	6	34410
134.48046875	0.0	ROWS	7	34427
138.73046875	0.0	ROWE	6	35515
138.796875	0.0	ROWS	7	35532
141.24609375	0.0	ROWE	6	36159
141.30859375	0.0	ROWS	7	36175
145.4453125	0.0	ROWE	6	37234
145.515625	0.0	ROWS	7	37252
149.765625	0.0	ROWE	6	38340
149.828125	0.0	ROWS	7	38356
153.1953125	0.0	ROWE	6	39218
153.26171875	0.0	ROWS	7	39235
157.53125	0.0	ROWE	6	40328
157.59765625	0.0	ROWS	7	40345
162.046875	0.0	ROWE	6	41484
162.1171875	0.0	ROWS	7	41502
166.3984375	0.0	ROWE	6	42598
166.47265625	0.0	ROWS	7	42617
170.73046875	0.0	ROWE	6	43707
170.80078125	0.0	ROWS	7	43725
175.0625	0.0	ROWE	6	44816
175.13671875	0.0	ROWS	7	44835
179.39453125	0.0	ROWE	6	45925
179.46875	0.0	ROWS	7	45944
183.9140625	0.0	ROWE	6	47082
183.9765625	0.0	ROWS	7	47098
188.09375	0.0	ROWE	6	48152
188.16015625	0.0	ROWS	7	48169
190.61328125	0.0	ROWE	6	48797
190.671875	0.0	ROWS	7	48812
194.796875	0.0	ROWE	6	49868
194.8671875	0.0	ROWS	7	49886
198.71484375	0.0	ROWE	6	50871
198.77734375	0.0	ROWS	7	50887
203.046875	0.0	ROWE	6	51980
203.109375	0.0	ROWS	7	51996
207.23046875	0.0	ROWE	6	53051
207.296875	0.0	ROWS	7	53068
210.6953125	0.0	ROWE	6	53938
210.76171875	0.0	ROWS	7	53955
214.99609375	0.0	ROWE	6	55039
215.05859375	0.0	ROWS	7	55055
219.1796875	0.0	ROWE	6	56110
219.2421875	0.0	ROWS	7	56126
222.12890625	0.0	ROWE	6	56865
222.1953125	0.0	ROWS	7	56882
226.52734375	0.0	ROWE	6	57991
226.59375	0.0	ROWS	7	58008
230.86328125	0.0	ROWE	6	59101
230.92578125	0.0	ROWS	7	59117
234.76171875	0.0	ROWE	6	60099
234.828125	0.0	ROWS	7	60116
239.09765625	0.0	ROWE	6	61209
239.1640625	0.0	ROWS	7	61226
243.4296875	0.0	ROWE	6	62318
243.49609375	0.0	ROWS	7	62335
246.9453125	0.0	ROWE	6	63218
247.01953125	0.0	ROWS	7	63237
251.29296875	0.0	ROWE	6	64331
251.54296875	0.0	ROWS	7	64395
255.8125	0.0	ROWE	6	65488
255.875	0.0	ROWS	7	65504
258.41015625	0.0	ROWE	6	66153
258.48046875	0.0	ROWS	7	66171
262.7421875	0.0	ROWE	6	67262
262.8046875	0.0	ROWS	7	67278
266.91015625	0.0	ROWE	6	68329
266.97265625	0.0	ROWS	7	68345
268.59375	0.0	ROWE	6	68760
268.6484375	0.0	ROWS	7	68774
272.80859375	0.0	ROWE	6	69839
272.859375	0.0	ROWS	7	69852
276.859375	0.0	ROWE	6	70876
276.8828125	0.0	ROWS	7	70882
277.2421875	0.0	ROWE	6	70974
277.24609375	0.0	CH02	2	70975
281.89453125	0.0	ROWS	7	72165
282.26171875	0.0	ROWE	6	72259
282.30859375	0.0	ROWS	7	72271
286.30859375	0.0	ROWE	6	73295
286.36328125	0.0	ROWS	7	73309
290.52734375	0.0	ROWE	6	74375
290.5859375	0.0	ROWS	7	74390
291.77734375	0.0	ROWE	6	74695
291.8359375	0.0	ROWS	7	74710
295.84375	0.0	ROWE	6	75736
295.90625	0.0	ROWS	7	75752
299.19140625	0.0	ROWE	6	76593
299.2578125	0.0	ROWS	7	76610
303.39453125	0.0	ROWE	6	77669
303.6484375	0.0	ROWS	7	77734
307.91015625	0.0	ROWE	6	78825
307.98046875	0.0	ROWS	7	78843
311.80859375	0.0	ROWE	6	79823
311.8828125	0.0	ROWS	7	79842
316.125	0.0	ROWE	6	80928
316.19140625	0.0	ROWS	7	80945
320.44140625	0.0	ROWE	6	82033
320.51171875	0.0	ROWS	7	82051
324.79296875	0.0	ROWE	6	83147
324.859375	0.0	ROWS	7	83164
329.109375	0.0	ROWE	6	84252
329.17578125	0.0	ROWS	7	84269
332.57421875	0.0	ROWE	6	85139
332.62890625	0.0	ROWS	7	85153
336.77734375	0.0	ROWE	6	86215
336.83203125	0.0	ROWS	7	86229
338.66015625	0.0	ROWE	6	86697
338.71875	0.0	ROWS	7	86712
342.890625	0.0	ROWE	6	87780
342.953125	0.0	ROWS	7	87796
347.125	0.0	ROWE	6	88864
347.1875	0.0	ROWS	7	88880
349.66015625	0.0	ROWE	6	89513
349.71875	0.0	ROWS	7	89528
353.82421875	0.0	ROWE	6	90579
353.88671875	0.0	ROWS	7	90595
358.0234375	0.0	ROWE	6	91654
358.09765625	0.0	ROWS	7	91673
361.4921875	0.0	ROWE	6	92542
361.57421875	0.0	ROWS	7	92563
365.9921875	0.0	ROWE	6	93694
366.06640625	0.0	ROWS	7	93713
370.375	0.0	ROWE	6	94816
370.4453125	0.0	ROWS	7	94834
371.69140625	0.0	ROWE	6	95153
371.75	0.0	ROWS	7	95168
376.07421875	0.0	ROWE	6	96275
376.13671875	0.0	ROWS	7	96291
380.2734375	0.0	ROWE	6	97350
380.33203125	0.0	ROWS	7	97365
382.7890625	0.0	ROWE	6	97994
382.8515625	0.0	ROWS	7	98010
386.9921875	0.0	ROWE	6	99070
387.0546875	0.0	ROWS	7	99086
391.32421875	0.0	ROWE	6	100179
391.3828125	0.0	ROWS	7	100194
394.70703125	0.0	ROWE	6	101045
394.76953125	0.0	ROWS	7	101061
398.98828125	0.0	ROWE	6	102141
399.0546875	0.0	ROWS	7	102158
403.2734375	0.0	ROWE	6	103238
403.33984375	0.0	ROWS	7	103255
406.72265625	0.0	ROWE	6	104121
406.78125	0.0	ROWS	7	104136
410.890625	0.0	ROWE	6	105188
410.94921875	0.0	ROWS	7	105203
413.390625	0.0	ROWE	6	105828
413.44921875	0.0	ROWS	7	105843
417.60546875	0.0	ROWE	6	106907
417.66796875	0.0	ROWS	7	106923
421.58984375	0.0	ROWE	6	107927
421.65234375	0.0	ROWS	7	107943
425.890625	0.0	ROWE	6	109028
425.95703125	0.0	ROWS	7	109045
430.19140625	0.0	ROWE	6	110129
430.26171875	0.0	ROWS	7	110147
434.5390625	0.0	ROWE	6	111242
434.609375	0.0	ROWS	7	111260
438.890625	0.0	ROWE	6	112356
438.95703125	0.0	ROWS	7	112373
443.22265625	0.0	ROWE	6	113465
443.28125	0.0	ROWS	7	113480
447.4375	0.0	ROWE	6	114544
447.5	0.0	ROWS	7	114560
450.20703125	0.0	ROWE	6	115253
450.26953125	0.0	ROWS	7	115269
454.421875	0.0	ROWE	6	116332
454.48828125	0.0	ROWS	7	116349
458.7734375	0.0	ROWE	6	117446
458.83984375	0.0	ROWS	7	117463
463.12109375	0.0	ROWE	6	118559
463.19140625	0.0	ROWS	7	118577
467.40625	0.0	ROWE	6	119656
467.4765625	0.0	ROWS	7	119674
471.76953125	0.0	ROWE	6	120773
471.8515625	0.0	ROWS	7	120794
476.2578125	0.0	ROWE	6	121922
476.31640625	0.0	ROWS	7	121937
480.48828125	0.0	ROWE	6	123005
480.54296875	0.0	ROWS	7	123019
481.73828125	0.0	ROWE	6	123325
481.7734375	0.0	ROWS	7	123334
485.85546875	0.0	ROWE	6	124379
485.8984375	0.0	ROWS	7	124390
486.25390625	0.0	ROWE	6	124481
486.3046875	0.0	ROWS	7	124494
490.453125	0.0	ROWE	6	125556
490.5234375	0.0	ROWS	7	125574
494.78515625	0.0	ROWE	6	126665
494.859375	0.0	ROWS	7	126684
497.85546875	0.0	ROWE	6	127451
497.921875	0.0	ROWS	7	127468
502.1875	0.0	ROWE	6	128560
502.25	0.0	ROWS	7	128576
506.4375	0.0	ROWE	6	129648
506.5	0.0	ROWS	7	129664
509.38671875	0.0	ROWE	6	130403
509.44921875	0.0	ROWS	7	130419
513.5859375	0.0	ROWE	6	131478
513.64453125	0.0	ROWS	7	131493
517.75390625	0.0	ROWE	6	132545
517.80859375	0.0	ROWS	7	132559
519.421875	0.0	ROWE	6	132972
519.4765625	0.0	ROWS	7	132986
523.65234375	0.0	ROWE	6	134055
523.7265625	0.0	ROWS	7	134074
527.98828125	0.0	ROWE	6	135165
528.05859375	0.0	ROWS	7	135183
532.5234375	0.0	ROWE	6	136326
532.58984375	0.0	ROWS	7	136343
536.85546875	0.0	ROWE	6	137435
536.91796875	0.0	ROWS	7	137451
539.88671875	0.0	ROWE	6	138211
539.94921875	0.0	ROWS	7	138227
